Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Downtown Toronto,43.669542,-79.4225637,Buk Chang Dong Soon Tofu,43.663841985165995,-79.4170928218847,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Hodo Kwaja 호도과자,43.66424032218461,-79.41557903826563,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Sunrise House Korean Restaurant 해뜨는집,43.66418287914217,-79.41574611551155,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Korean Village Restaurant,43.66449791303207,-79.41436726023312,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Tofu Village 두부마을 豆腐村,43.66394281460449,-79.41665193686741,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Yummy Korean Restaurant,43.664430691694356,-79.41393731132068,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Hancook,43.6646,-79.41304000000002,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Korea House,43.664080752191104,-79.41618113006092,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Paldo Gangsan 팔도강산,43.66381881598114,-79.4174291175174,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Barrio Coreano,43.66429440814471,-79.4150189533165,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Doo Roo Ae 두루애,43.66417549354401,-79.4156573724109,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Seoul Restaurant 서울분식,43.664542463164395,-79.41407487992694,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Lim Ga Ne Korean Restaurant 임가네,43.66394504978582,-79.41688239269187,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Jangwon 장원,43.66377096454113,-79.41771291322172,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Royal Boonsik 로얄분식,43.66425728524849,-79.41519376932109,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,The Owl | Boo Ung Ee,43.663809199357615,-79.41745422069958,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Imonay House Restaurant 뉴 · 이모네집,43.66412292954772,-79.41581478743696,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Roll House 원 짜장면집,43.664304279926185,-79.41528615921186,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Arisu,43.664992614079196,-79.41254576161045,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Mom's Korean Restaurant,43.6646250121462,-79.41366853502585,Korean Restaurant
Downtown Toronto,43.669542,-79.4225637,Mapo Korean BBQ Restaurant 마포상회,43.66409588590325,-79.41673815250397,Korean Restaurant
